CODIGO;DESCRICAO PRODUTO;P_CUSTO;P_VENDA;%MG_VD;
13821;PAPEL ALUMINIO P/NARGUILE BRASUKA VERDE C/50UN;9,75;15,5;58,97;
8523;PAPEL ALUMINIO P/NARGUILE BRAZILIAN HOOK;8;14,4;0;
8765;PAPEL ALUMINIO P/NARGUILE KIMO PLUS PREM;6,8;11;0;
4986;PAPEL P/CIGARRO CATOINHO;0,4;0,75;0;
1307;PAPEL P/CIGARRO JURITI C/50 FOLHAS;0,4;0,7;0;
7433;PAPEL P/CIGARRO JURITI C/50 FOLHAS;0,75;1,5;100;
6660;PAPEL P/CIGARRO JURUPI;0,54;1,5;177,78;
3769;PAPEL P/CIGARRO PEAO;0,5;1;0;
2675;PAPEL P/CIGARRO RODEIO;0,3;0,5;0;
7344;PAPELITO BROW;2,11;3,5;65,88;
14104;PAPELITO BROW SLIM;2,11;3,5;65,88;
14113;PAPELITO BROW SLIM 1/4;2,11;3,5;65,88;
14114;PAPELITO BROW1/4;2,11;3,5;65,88;
7343;PAPELITO PRATA;1,68;4;0;
14105;PAPELITO SLIM;1,69;3;77,51;
14112;PAPELITO SLIM 1/4;1,7;3;76,47;
14115;PAPELITO TRADICIONAL 1/4;1,69;3;77,51;
14106;PAPELITO TRADICIONAL C/PITEIRA;3,69;7;89,7;
9193;PARAF.CHIPBOARD CHAPA PHS 3,5X30 3124;0,026;0,1;0;
11110;PARAF.CHIPBOARD CHAPA PHS 4,0X30 3137;0,04;0,1;150;
11347;PARAF.CHIPBOARD CHAPA PHS 4,0X40 3135;0,06;0,15;150;
6876;PARAF.CHIPBOARD CHAPA PHS 4,0X45 4969;0,039;0,08;0;
9192;PARAF.CHIPBOARD CHAPA PHS 4,0X50 3137;0,052;0,1;0;
9191;PARAF.CHIPBOARD CHAPA PHS 4,5X60 3147;0,071;0,15;0;
11109;PARAF.CHIPBOARD CHAPA PHS 5,0X50 5611;0,12;0,25;108,33;
6877;PARAF.CHIPBOARD CHAPA PHS 5,0X60 3154;0,066;0,14;0;
9190;PARAF.CHIPBOARD CHAPA PHS 6,0X50 5609;0,12;0,25;0;
6878;PARAF.CHIPBOARD CHAPA PHS 6,0X60 5611;0,24;0,5;108,33;
5959;PARAFUSADEIRA A BATERIA WORK TOOLS;126;199;0;
4765;PARAFUSADEIRA ANG+KIT MAKITA 4,8V 110V;94,34;135;0;
12843;PARAFUSO AUTO BROCANTE SEX.C ARR 12 X 1;0,2;0,35;75;
16606;PARAFUSO AUTO BROCANTE SEX.C ARR 12 X 1,1/2;0,23;0,4;73,91;
16352;PARAFUSO AUTO BROCANTE SEX.C ARR 12 X 2;0,21;0,4;90,48;
15292;PARAFUSO AUTO BROCANTE SEX.C ARR 14 X 3 4;0,14;0,3;114,29;
11344;PARAFUSO AUTO BROCANTE SEX.C/ARR 12 X 3/4;0,18;0,35;94,44;
9187;PARAFUSO C/BUCHA 06;0,57;0,95;66,67;
9188;PARAFUSO C/BUCHA 08;0,78;1,25;60,26;
9189;PARAFUSO C/BUCHA 10;0,577;1;0;
12684;PARAFUSO C/BUCHA 10 SEXTAVADO;2,09;3,15;50,72;
14606;PARAFUSO CHIPBOARD CHATA PHS 4,0X30 03133;0,06;0,15;150;
14607;PARAFUSO CHIPBOARD CHATA PHS 4,0X40 03135;0,07;0,2;185,71;
9902;PARAFUSO CHIPBOARD CHATA PHS 4,5X60 3147;0,09;0,15;66,67;
11345;PARAFUSO CHIPBOARD CHATA PHS 5,0X50 3153;0,07;0,15;114,29;
11346;PARAFUSO CHIPBOARD CHATA PHS 6,0X60 27768;0,24;0,5;108,33;
13735;PARAFUSO CHIPBOARD CHATA PHS 6,0X70;0,23;0,6;160,87;
6176;PARAFUSO FRANCES 1/4X3 C/PORCA;0,36;0,75;108,33;
6212;PARAFUSO FRANCES 3/16X1 1/2 C/PORCA;0,038;0,15;0;
11340;PARAFUSO FRANCES 3/16X3 C/PORCA;0,22;0,5;127,27;
11341;PARAFUSO FRANCES 3/8X3 .1/2 C/PORCA;0,97;1,95;101,03;
11343;PARAFUSO FRANCES 3/8X5 C/PORCA;1,26;2,6;106,35;
6178;PARAFUSO FRANCES 3/8X6 C/PORCA;0,77;1,25;0;
6177;PARAFUSO FRANCES 5/16X4 C/PORCA;0,382;0,65;0;
11342;PARAFUSO FRANCES 5/16X6 C/PORCA;0,96;1,95;103,13;
8960;PARAFUSO P/ELETRECISTA LENTILHA 1/4X3/4;0,102;0,25;0;
17214;PARAFUSO P/VASO B-10  A UN;2,52;3,99;58,33;
9242;PARAFUSO P/VASO B-10 C/2;2,6;3,99;53,46;
16953;PARAFUSO P/VASO B-10 C/2 ART METAIS;2,5;4;60;
14764;PARAFUSO P/VASO B-10 C/2 TORALF;7,39;11,9;61,03;
12760;PARAFUSO PARA TELHA 110X5/16 KIT;0,76;1,6;110,53;
6210;PARAFUSO ROSC MAQ RED 1/4X4 JOMARCA;0,201;0,35;0;
6211;PARAFUSO ROSC MAQ RED 3/16X3 JOMARCA;0,09;0,15;0;
6209;PARAFUSO ROSC MAQ RED 5/16X2 JOMARCA;0,185;0,3;0;
11810;PARAFUSO SEX.ROS.SOBERBA 1/4X70 BUCHA 10;0,35;0,6;71,43;
6743;PARAFUSO SEX.ROS.SOBERBA 1/4X70 BUCHA 10;0,154;0,4;0;
6742;PARAFUSO SEX.ROS.SOBERBA 3/16X70 BUCHA08;0,09;0,2;0;
6741;PARAFUSO SEX.ROS.SOBERBA 5/16X75 BUCHA12;0,247;0,5;0;
528;PARASITARIO HOMEO BOVIS 600GR;6,34;8,9;0;
10515;PARASITE OFF ORGANNACT 400ML;32,61;48;47,19;
3647;PARTOMICINA;16,48;26,5;0;
4547;PARTOMICINA VETBRANDS;20,187;32,3;0;
16139;PASSA CERA;7,95;11,99;50,82;
9227;PASSA FIO TORALF 15MT;3,807;8;0;
15443;PASSAGUA CABO ALUMINIO MAX S MANOP.TELA DE LINHA SOL E LUA 9;46,31;75,99;64,09;
2459;PASSAGUA CABO ALUMINIO N01;11,7;18,75;0;
2457;PASSAGUA CABO ALUMINIO N02;12,8;20,8;0;
2982;PASSAGUA CABO ALUMINIO N03;14;23,6;0;
4243;PASSAGUA CABO ALUMINIO N06;22,7;37;0;
2983;PASSAGUA CABO ALUMINIO RETRATIL;20,6;33;0;
15441;PASSAGUA CABO ALUMINIO TELA FINA 60CM SOL E LUA;20,58;34,99;70,02;
15442;PASSAGUA CABO ALUMINIO TELA FINA 75CM SOL E LUA;22,47;39,9;77,57;
15444;PASSAGUA CABO MADEIRA TELA FINA 60CM;15,85;26,99;70,28;
15445;PASSAGUA CABO MADEIRA TELA FINA 75CM;19,64;33,99;73,07;
12693;PASSAGUA COMBATE 1 CABO MADEIRA;26,68;42,99;61,13;
12692;PASSAGUA COMBATE 2 CABO MADEIRA;30,76;49,99;62,52;
12691;PASSAGUA COMBATE 3 CABO MADEIRA;34,74;55,99;61,17;
1399;PASSAGUA COMBATE 4 CABO MADEIRA;43,93;70,99;61,6;
16081;PASSAGUA COMBATE 5 CABO MADEIRA;33,25;53,5;60,9;
6680;PASSAGUA DOBRAVEL GD;45;72;0;
6678;PASSAGUA DOBRAVEL MD;40;64;0;
6677;PASSAGUA DOBRAVEL PQ;35;56;0;
3984;PASSAGUA DOBRAVEL TELES.MARURI LS50 1502;29,76;48;0;
8186;PASSAGUA EXTRA GIGA CF CABO 1,00M;97,5;156;60;
1398;PASSAGUA GIGA CABO ALUMINIO 1,00MT GD;45,5;75;64,84;
6175;PASSAGUA IDEAL STANDART 50CM/MULT;26,28;42,5;61,72;
6289;PASSAGUA IDEAL STANDART 75CM/MULT;22,1;35,5;60,63;
1100;PASSAGUA LIGHT ALUMINIO 50;18,9;31;64,02;
5123;PASSAGUA MASTER CF75;38,99;62,99;61,55;
5124;PASSAGUA MEGA CF100;29,95;45;0;
7886;PASSAGUA MEGA CF75 35MM MULT;33,8;55;62,72;
12895;PASSAGUA MEGA CF75 35MM MULT;41,98;67,5;60,79;
7885;PASSAGUA PLUMAS MASTER CF75 MALHA FINA;25,39;41;0;
14991;PASSAGUA STANDART CF60;29,95;48;60,27;
5125;PASSAGUA STANDART CF75;32,9;53;61,09;
16715;PASSARINHO C/SOM P/GATO 7CM;8,54;13,99;63,82;
2733;PASSARO PRETO 500GR MUNDO DAS AVES;2,7;4,2;0;
1253;PASSARO PRETO GOLD MIX 500GR;8,04;12,5;55,47;
5266;PASSARO PRETO MIX 500GR CIA DOS PASSAROS;3,309;5;0;
11064;PASSAROS EXOTICOS PREMIUM 500GR PASSARO MANIA;4,05;6,5;60,49;
533;PASTA ENTERICA CURA DIARREIA 45GR;4,8;7,5;0;
10289;PASTA PARA CALCADO MARROM 36GR;3,9;5,9;51,28;
10290;PASTA PARA CALCADO PRETO 36GR;3,9;5,9;51,28;
434;PASTA PARA ORDENHA 100GR;5,92;9,5;0;
6230;PASTA VERDE DIPIL 10GR;3,625;6;0;
7842;PASTILIA CARPUS BLUE C/3;3,67;5,9;0;
13130;PASTILIA GENCO 3 EM 1 200GR;8,3;11,8;42,17;
2923;PATE DE FRUTAS MUNDO DAS AVES 300GR;4,2;6,7;0;
2921;PATE DE INSETOS COM MEL 300GR MUNDO DAS;5,67;8,5;0;
2324;PATE DE PIMENTA HABANERO MEXICANA 325GR;8;12,8;0;
10204;PAVIO P/ISQUEIRO ZIPPO;8,99;14,5;61,29;
15836;PAZINHA PREMIUM YANPET;4,65;7,5;61,29;
16076;PAZINHA TRAMONTINA ESTREITA;8,14;12,99;59,58;
16077;PAZINHA TRAMONTINA LARGA;8,36;13,4;60,29;
15750;PE DE FRANGO LLPET;4,17;6,99;67,63;
15609;PE DE GALINHA DEFUMADO C/3UN;5,99;9,6;60,27;
15647;PE DE GALINHA DEFUMADO C/3UN;7,69;12,3;59,95;
4418;PEDESTAL LUXO(E)QUATINGUA;49,79;79,99;0;
2519;PEDESTAL RED RODA EPOXI 81 LONDRINA;51,6;77,4;0;
303;PEDIGREE ADULTO EXPERT MEDIUM BREEDS 3KG;38,78;58,9;0;
1962;PEDIGREE ADULTO EXPERT SENSITIVE 15KG;108,35;140;0;
302;PEDIGREE ADULTO EXPERT SENSITIVE 3KG;41,09;62,4;0;
305;PEDIGREE ADULTO EXPERT SMALL BREEDS 1KG;12,48;17,5;0;
1605;PEDIGREE ADULTO EXPERT SMALL BREEDS 3KG;38,78;58,9;0;
1004;PEDIGREE ADULTO OVELHA E CEREAIS 1KG;7,73;11,3;0;
2699;PEDIGREE CARNE LATA ADULTO 280GR;4,12;6,1;48,06;
35;PEDIGREE CARNE LATA ADULTO 330GR;2,81;3,99;0;
1001;PEDIGREE CARNE MARROWBONE;4,58;6,9;0;
1000;PEDIGREE CARNE MARROWBONE 15KG;68,68;96,15;0;
5744;PEDIGREE CARNE,FRANGO,CEREAIS 1KG;8,47;11,5;0;
184;PEDIGREE CARNEEVEGETAIS;8,43;12,99;54,09;
183;PEDIGREE CARNEEVEGETAIS 15KG;130,98;183,9;40,4;
1781;PEDIGREE CARNEEVEGETAIS 20KG;95,32;140;46,87;
1895;PEDIGREE CARNEEVEGETAIS 3KG;18,5;25,9;0;
1683;PEDIGREE CARNEEVEGETAIS BONUS BAG 17,5KG;75,7;98,41;0;
5453;PEDIGREE DENTASTIX RACAS GRANDES 270G 7U;19,68;29,99;52,39;
5454;PEDIGREE DENTASTIX RACAS MEDIAS 180G 7UN;15,99;23,99;50,03;
5455;PEDIGREE DENTASTIX RACAS MEDIAS 75G 3UN;8,44;12,8;51,66;
5456;PEDIGREE DENTASTIX RACAS PEQ. 110G 7UN;11,99;19,9;65,97;
5457;PEDIGREE DENTASTIX RACAS PEQ. 45G 3UN;3,53;5,3;0;
1547;PEDIGREE EQ.NATURAL ADULTO + 7 ANOS;5,3;7,95;0;
1256;PEDIGREE EQ.NATURAL ADULTO + 7 ANOS 15KG;79,51;112;0;
1682;PEDIGREE EQ.NATURAL ADULTO + 7 ANOS 1KG;8,88;12,51;0;
1258;PEDIGREE EQ.NATURAL ADULTO + 7 ANOS 3KG;25,38;35,5;0;
200;PEDIGREE EQ.NATURAL ADULTO 15KG;80,37;112,52;0;
4626;PEDIGREE EQ.NATURAL ADULTO 1KG;8;11,5;0;
1029;PEDIGREE EQ.NATURAL ADULTO RAC.PEQ. 3KG;22,84;32,1;0;
4064;PEDIGREE EQ.NATURAL JUNIOR;6,27;10,99;0;
1963;PEDIGREE EQ.NATURAL JUNIOR 15KG;100;135;35;
189;PEDIGREE EQ.NATURAL JUNIOR 1KG;14,48;19,9;37,43;
3099;PEDIGREE EQ.NATURAL JUNIOR 3KG;26,49;37,2;0;
199;PEDIGREE EQ.NATURAL RAC.PEQ. 1KG;14,05;19,7;40,21;
334;PEDIGREE EQ.NATURAL RACAS PEQ.;6,66;10,99;65,02;
333;PEDIGREE EQUI.NATURAL RACAS PEQ.15KG;101,55;135;32,94;
2701;PEDIGREE EQUILIBRIO NATURAL LATA 280GR;2,45;3,5;0;
6935;PEDIGREE ESSENCIAL 15KG;78,69;102,3;30;
2698;PEDIGREE FRANGO LATA ADULTO 280GR;4,03;6,1;0;
2700;PEDIGREE FRANGO LATA JUNIOR 280GR;4,03;6,1;0;
2630;PEDIGREE GALINHA LATA ADULTO 330GR;2,81;3,99;0;
5458;PEDIGREE JUMBONE RACAS MEDIAS 100G 1UN;2,45;3,99;0;
195;PEDIGREE JUNIOR;11,07;17,9;61,7;
194;PEDIGREE JUNIOR 15KG;140,66;196,99;40,05;
1501;PEDIGREE JUNIOR 1KG;14,16;19,5;37,71;
12335;PEDIGREE JUNIOR 20KG;159;215;35,22;
6219;PEDIGREE JUNIOR 3KG;28,8;37,5;0;
304;PEDIGREE JUNIOR EXPERT SMALL BREEDS 1KG;16,39;24,9;0;
2990;PEDIGREE JUNIOR RACAS PEQ.900GR;13,84;19,9;43,79;
1687;PEDIGREE POUCH EQ.NATURAL AO MOLHO 150GR;1,81;2,6;0;
1686;PEDIGREE POUCH EQ.RACAS PQ.AO MOLHO 150G;1,81;2,6;0;
1693;PEDIGREE POUCH JUNIOR AO MOLHO 150GR;1,66;2,6;0;
1685;PEDIGREE POUCH RACAS PEQ.AO MOLHO 100GR;1,81;2,6;0;
196;PEDIGREE POUCH RACAS PEQ.AO MOLHO 150GR;1,81;2,6;0;
2409;PEDIGREE PUPPY EXPERT 1KG;17,91;18;0;
332;PEDIGREE RACAS PEQ.;8,43;13,9;64,89;
331;PEDIGREE RACAS PEQ.15KG;126,46;177,9;40,68;
1499;PEDIGREE RACAS PEQ.1KG;13,84;19;37,28;
2087;PEDIGREE RACAS PEQ.3KG;28,8;37,5;0;
5460;PEDIGREE RODEIO CARNE 70GR 4UN;4,89;7,4;51,33;
5459;PEDIGREE RODEIO FRANGO 70GR 4UN;4,1;6,2;51,22;
6914;PEDIGREE SACHE CARNE 7+ANOS 100GR;1,46;2,25;54,11;
3097;PEDIGREE SACHE CARNE ADUL.RACAS PEQ.100G;1,89;2,99;58,2;
7569;PEDIGREE SACHE CARNE ADULTO 100G;1,46;2,25;54,11;
6400;PEDIGREE SACHE CARNE FILHOTE 100GR;1,46;2,25;54,11;
2939;PEDIGREE SACHE CORDEIRO ADUL.RACAS PEQ.1;2,15;2,99;39,07;
5147;PEDIGREE SACHE FRANGO ADUL.RACAS PEQ.100;1,89;2,99;58,2;
7570;PEDIGREE SACHE FRANGO ADULTO 100G;1,46;2,25;54,11;
5057;PEDIGREE SACHE FRANGO FILHOTE 100GR;1,46;2,25;54,11;
6871;PEDRA AI.M P/AQUARIO DOPHIN NEON 1KG;11,99;19,2;0;
8378;PEDRA AMAR P/AQUARIO 950GR NOBRE;2,4;3,9;0;
12368;PEDRA AMARELA ESCURO PARA AQUARIO 950GR;7,5;12;60;
12365;PEDRA AMARELA PARA AQUARIO 950GR;7,5;12;60;
15858;PEDRA AZUL FLUORESCENTE 700GR;2,99;4,99;66,89;
16131;PEDRA AZUL PARA AQUARIO 950GR;7,5;12;60;
12361;PEDRA AZUL PARA AQUARIO 950GR;7,5;12;60;
13242;PEDRA BRANCA MD DOLOMITA 10KG N03;18;25,2;40;
14433;PEDRA BRANCA MD DOLOMITA 5KG N01;12;18;50;
13240;PEDRA BRANCA MD N06 GRANILHA 10KG;16;22,4;40;
290;PEDRA BRANCA PARA AQUARIO 950GR;7,5;12;60;
13243;PEDRA BRANCA PQ DOLOMITA 10KG N07;9,5;16;68,42;
13241;PEDRA BRANCA PQ GRANILHA 10KG N08;16;22,4;40;
12079;PEDRA COMBINADA EDA 8;4,95;8;61,62;
2776;PEDRA COMBINADA STARFER;7,62;12,5;64,04;
14367;PEDRA CRISTAL BRANCO 1KG;5,9;9,5;61,02;
12801;PEDRA CRISTAL PARA AQUARIO 950GR;7,5;12;60;
12758;PEDRA DE AFIAR COMBINADA 6;3,89;6;54,24;
16049;PEDRA DE AFIAR COMBINADA 6 BRASFORT;7,63;12,2;59,9;
16050;PEDRA DE AFIAR COMBINADA CARBORUNDUM;21,95;32,99;50,3;
17278;PEDRA DE AFIAR COMBINADA COMBINADA BESTFER;7,8;12,99;66,54;
3713;PEDRA DE AFIAR COMBINADA WESTERN;5,82;9,5;63,23;
12894;PEDRA DE AFIAR DUPLA FACE 120/240 JAMES F;23,85;36;50,94;
14726;PEDRA DE AFIAR DUPLA FACE MUNDIAL 20CM;29,72;48;61,51;
6120;PEDRA DE CALCIO P/ROEDORES;2,81;4,5;0;
15804;PEDRA LARANJA FLUORESCENTE 1KG;6,5;10,4;60;
12367;PEDRA LARANJA PARA AQUARIO 950GR;7,5;12;60;
12364;PEDRA LILAS PARA AQUARIO 950GR;7,5;12;60;
7416;PEDRA P/ISQUEIRO FAISCA C/6UN;1,3;2,6;0;
10741;PEDRA P/ISQUEIRO ZIPPO;8,99;14,5;61,29;
5658;PEDRA PARA AQUARIO BASALTO 1KG;4,03;6,5;61,29;
7530;PEDRA PARA AQUARIO VARIADAS 1KG;3;4,99;0;
1353;PEDRA PARA AQUARIO VARIADAS 950GR;1,93;3,1;0;
4445;PEDRA PARA AQUARIO VARIADAS 950GR;1,93;3,1;0;
291;PEDRA PARA AQUARIO VARIADAS 950GR;1,93;3,1;0;
16999;PEDRA POROSA 5CM;2,99;4,99;66,89;
3672;PEDRA POROSA BOLA AZUL;1,99;3,5;75,88;
7395;PEDRA POROSA CILINDRICA AZUL;4,99;7,99;60,12;
15651;PEDRA POROSA CILINDRICA AZUL C/2UN;8,68;14,1;62,44;
16997;PEDRA POROSA FLEX 45CM;13,49;21,6;60,12;
17000;PEDRA POROSA FLEX 60CM;19,99;31,99;60,03;
16995;PEDRA POROSA FLEX 90CM;23,79;38,1;60,15;
14365;PEDRA ROSA FLUORESCENTE 1KG;6,5;10,4;60;
8375;PEDRA ROSA P/AQUARIO 950GR NOBRE;0;0;0;
12360;PEDRA ROSA PARA AQUARIO 950GR;7,5;12;60;
8379;PEDRA ROXA P/AQUARIO 950GR NOBRE;2,4;3,9;0;
12437;PEDRA SANITARIA LIPEX;1,6;2,4;50;
15773;PEDRA SEIXO 5KG;9,55;14,5;51,83;
8377;PEDRA VERD P/AQUARIO 950GR NOBRE;2,4;3,9;0;
12363;PEDRA VERDE CLARO PARA AQUARIO 950GR;7,5;12;60;
12362;PEDRA VERDE ESCURO PARA AQUARIO 950GR;4,95;7,99;61,41;
14366;PEDRA VERDE FLUORESCENTE 1KG;6,5;10,4;60;
8376;PEDRA VERM P/AQUARIO 950GR NOBRE;2,4;3,9;0;
12366;PEDRA VERMELHA PARA AQUARIO 950GR;7,5;12;60;
11116;PEGADOR BRASUKA GD AZUL;10,5;16,8;60;
11115;PEGADOR BRASUKA GD ROXO;10,5;16,8;60;
11114;PEGADOR BRASUKA PQ ROXO;7,5;12;60;
12312;PEGADOR CHAMS HOOKAH PEQ AZUL;8;12,8;60;
12313;PEGADOR CHAMS HOOKAH PEQ DOURADO;8;12,8;60;
12311;PEGADOR CHAMS HOOKAH PEQ PRETO;8;12,8;60;
12310;PEGADOR CHAMS HOOKAH PEQ ROSA;8;12,8;60;
9850;PEGADOR INOX PARA MASSA MONIZ 19,6CM SIMONAGGIO;4,99;8;60,32;
9851;PEGADOR MULTIUSO INOX 17CM SIMONAGGIO;4,99;8;60,32;
8297;PEGADOR P/CARVAO BALI RAI GD;3,5;5,6;0;
8296;PEGADOR P/CARVAO BALI RAI PQ;2,666;4,5;0;
13331;PEITORAL AMERICANO C/COLEIRA SUPER HERO GD REF.2489;42,64;68,5;60,65;
13330;PEITORAL AMERICANO C/COLEIRA SUPER HERO GG REF.2490;45,47;72,99;60,52;
13328;PEITORAL AMERICANO FITA REFLETIVA N03 REF.2214;16,05;25,75;60,44;
13329;PEITORAL AMERICANO FITA REFLETIVA N04 REF.2215;24,13;38,7;60,38;
13327;PEITORAL AMERICANO FITA REFLETIVA N05 REF.2216;26,17;41,99;60,45;
13321;PEITORAL AMERICANO FITA SEDA DUPLA GG;44,98;72;60,07;
10902;PEITORAL C/GUIA DE NYLON E COURO N05;14,99;24;60,11;
10903;PEITORAL C/GUIA DE NYLON E COURO N06;14,99;24;60,11;
10901;PEITORAL C/GUIA DE NYLON E COURO N07;14,99;24;60,11;
10900;PEITORAL C/GUIA DE NYLON E COURO N08;14,99;24;60,11;
1461;PEITORAL C/GUIA DE NYLON SIMPLES N0;4,64;7,5;61,64;
45;PEITORAL C/GUIA DE NYLON SIMPLES N1;4,64;7,5;61,64;
