CODIGO;DESCRICAO PRODUTO;P_CUSTO;P_VENDA;%MG_VD;
10789;PELUCIA MEU PET DINO;19,26;31,2;61,99;
12916;PELUCIA MEU PET DOG;16,66;26,99;62;
16412;PELUCIA MEU PET ELEF.COLORIDO;19,26;31,1;61,47;
14649;PELUCIA MEU PET ELEFANTE;19,26;30,99;60,9;
12915;PELUCIA MEU PET GIRAFINHA;19,26;31,1;61,47;
15180;PELUCIA MEU PET MACACO AZUL C CORDA;16,15;26;60,99;
15179;PELUCIA MEU PET PATINHO BRILHANTE;20,13;32,2;59,96;
15582;PELUCIA MEU PET PEIXE;15,11;24,99;65,39;
10089;PELUCIA MEU PET POLVO;12,98;21;61,79;
16408;PELUCIA MEU PET PORCO;18,62;29,99;61,06;
12917;PELUCIA MEU PET PORQUINHO;15,77;26,9;70,58;
16363;PELUCIA MEU PET PREGUICA;18,62;29,99;61,06;
12918;PELUCIA MEU PET RAPOSINHA;19,26;31,1;61,47;
9894;PELUCIA MEU PET REX;12,98;21;61,79;
16364;PELUCIA MEU PET SAPO;18,62;29,99;61,06;
9895;PELUCIA MEU PET TUCANO;12,98;21;61,79;
12919;PELUCIA MEU PET UNICORNIO;19,26;31,1;61,47;
15263;PELUCIA MEU PET UNICORNIO;15,77;26;64,87;
14666;PELUCIA MIX FLORESTA 54CM;21,99;36;63,71;
9046;PELUCIA MORDEDOR;12,9;20,8;0;
2851;PELUCIA ONCINHA NOVA PET;7,11;11,3;0;
5395;PELUCIA OVELHINHA;11,66;19;0;
7074;PELUCIA OVELHINHA;14,08;22,6;0;
8739;PELUCIA PANDA;15,75;25,2;0;
15387;PELUCIA PARA GATO DENGOSO COM CAT NIP TEX 1259;5,99;9,99;66,78;
15388;PELUCIA PARA GATO MINI CACTOS COM CAT NIP TEX 1259;5,99;9,99;66,78;
15391;PELUCIA PARA GATO MINI DINOSSAURO MALUC COM CAT NIP TEX 1254;5,99;9,99;66,78;
17390;PELUCIA PARA GATO MINI FRANGO COM CAT NIP TEX 1258;3,19;6,5;103,76;
